Username,Date,Content,Likes,Retweets
"profmasays
@profmasays","3:30 AM · Jul 11, 2020","When you have a bae, a #sonofpunggol and a guy who can’t  remember the name of his Prime Minister, but still win... 
 #GE2020SG #singaporevotes #singaporeelections",2.0,2 s
"mrbrown
@mrbrown","3:26 AM · Jul 11, 2020","https://youtu.be/aVdg75GkiTY I miss Returning Officer Yam Ah Mee.

#sgelections #ge2020 #ge2020sg",14.0,50 s
"Kenneth Goh
@loronglornie","3:26 AM · Jul 11, 2020",Why r there sooooo many rejected votes? Who are these people!? #ge2020 #GE2020SG #SingaporeElection,0.0,2 s
"Baby(myday)J
@jae_toenail","2:54 AM · Jul 11, 2020","Amazing credentials aside, Nicole Seah is honestly so pretty wtf #GE2020 #GE2020SG",3.0,11 s
"Baby(myday)J
@jae_toenail","2:53 AM · Jul 11, 2020",eAsT cOaSt pLAn #GE2020 #GE2020SG,0.0,0
"𝕁.𝕁. 𝔸𝕟𝕘𝕖𝕝𝕦𝕤 - Science Comms #ALM
@JJ_Angelus","2:52 AM · Jul 11, 2020","There're more rejected votes this time around! By the thousands 
  #GE2020SG",0.0,3 s
"Kenneth Goh
@loronglornie","2:47 AM · Jul 11, 2020",No much mention on HSK as the next PM or the leader of the 4G team in the CNA show this morning #sgelections #GE2020 #GE2020SG,0.0,3 s
"mrbrown
@mrbrown","2:44 AM · Jul 11, 2020",Why is there music streaming while Jo Teo is speaking? #sgelection #ge2020 #ge2020sg,15.0,57 s
"mrbrown
@mrbrown","2:32 AM · Jul 11, 2020","JALAN BESAR GRC Voters: 107,936 | Rejected votes: 2,943 | Did not vote: 6,286

That is almost 10% of the people there who either spoiled their votes or did not vote. Go figure.

#sgelections #ge2020 #ge2020sg",139.0,163 s
"stella ⁷♡
@kimvotion","2:20 AM · Jul 11, 2020","PRAYER CIRCLE:

                     
      
                                    
                  tan chen bock
       
    chee soon juan      
                     jamus lim
           
  to be elected.    
                           
#GE2020SG",5.0,17 s
"Gregg Chen
@gregg_chen","2:19 AM · Jul 11, 2020",14% drop for CCS is not a good result or report card #TanjongPagarGRC #GE2020SG,0.0,0
"Kenneth Goh
@loronglornie","2:06 AM · Jul 11, 2020",Our voice matters! Let's not be political apathetic like how we were brought up to think #GE2020 #SingaporeElection #GE2020SG,0.0,6 s
"Hellena Fuzza
@hellenafuzza","1:49 AM · Jul 11, 2020","654 votes..wow! That is a lot for independence candidate sia... not bad ah...

#ge2020sg #ge2020 https://instagram.com/p/CCeHUbvhK9XnzkczsbrC4bsej9RdMWAwqu8bA40/?igshid=1bcc6npqq4lsh…",0.0,0
"Kenneth Goh
@loronglornie","1:48 AM · Jul 11, 2020",Good performance from Dr Paul of SDP #GE2020 given that the opp only had 9 days of campaigning to do #GE2020SG #SingaporeElection,0.0,4 s
"Sean Foo
@mrseanfoo","1:44 AM · Jul 11, 2020","Regardless of your personal opinion on CSJ, he could have had a very comfortable life but he stuck to his principles and chose a much harder life #ge2020sg",0.0,0
"Friendship Feed
@friendship_feed","1:41 AM · Jul 11, 2020","#GE2020SG #SingaporeVotes the voice 
@NEAsg
 CEO Tan meng Dui!",0.0,0
